"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify creating a Book with only one populated field behaves as expected","459","checkCreateBookWithSingleField(String) Create Book with only field: description","","Tue Oct 07 12:00:09 UTC 2025","passed","Tue Oct 07 12:00:09 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSingleField"
"Verify updating a non-existent book returns 404 Not Found","486","checkUpdateNonExistentBookShouldReturn404()","","Tue Oct 07 12:00:34 UTC 2025","failed","Tue Oct 07 12:00:34 UTC 2025","","com.fakeRestApi.tests.book.UpdateBooksTests","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateNonExistentBookShouldReturn404"
"Verify GET /Books/{id} returns 404 Not Found for nonexistent or invalid numeric IDs","604","checkGetBookWithNonexistentIdShouldReturnNotFound(String) GET /Books/999999999 should return 404 Not Found","","Tue Oct 07 12:00:27 UTC 2025","passed","Tue Oct 07 12:00:27 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithNonexistentIdShouldReturnNotFound"
"PUT /Authors/{id} should return 400 when lastName is blank","1121","checkShouldReturnBadRequestWhenLastNameBlank(String) [3] 
","","Tue Oct 07 12:00:04 UTC 2025","failed","Tue Oct 07 12:00:06 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenLastNameBlank"
"Verify GET /Authors/authors/books/{idBook} returns authors related to that book","500","checkGetAuthorsByBookIdShouldReturnRelatedAuthors()","","Tue Oct 07 11:59:49 UTC 2025","passed","Tue Oct 07 11:59:50 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorsByBookIdShouldReturnRelatedAuthors"
"Verify GET /Books/{id} returns the correct book when using a valid random ID","529","checkGetBookByRandomIdShouldReturnValidBookById()","","Tue Oct 07 12:00:29 UTC 2025","passed","Tue Oct 07 12:00:29 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookByRandomIdShouldReturnValidBookById"
"PUT /Authors/{id} should return 400 when firstName is blank","1142","checkShouldReturnBadRequestWhenFirstNameBlank(String) [3] 	","","Tue Oct 07 12:00:00 UTC 2025","failed","Tue Oct 07 12:00:02 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenFirstNameBlank"
"Verify updating a book with empty strings returns 400 Bad Request","899","checkUpdateBookWithEmptyFieldsShouldReturn400()","","Tue Oct 07 12:00:33 UTC 2025","passed","Tue Oct 07 12:00:34 UTC 2025","","com.fakeRestApi.tests.book.UpdateBooksTests","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateBookWithEmptyFieldsShouldReturn400"
"Verify that invalid author IDs return 400 Bad Request","476","checkDeleteInvalidAuthorIdShouldReturn400(String) DELETE /Authors/! should return 400 Bad Request","","Tue Oct 07 11:59:44 UTC 2025","passed","Tue Oct 07 11:59:45 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteInvalidAuthorIdShouldReturn400"
"Verify that invalid book IDs return 400 Bad Request","486","checkDeleteInvalidBookIdShouldReturn400(String) DELETE /Books/$ should return 400 Bad Request","","Tue Oct 07 12:00:19 UTC 2025","passed","Tue Oct 07 12:00:19 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteInvalidBookIdShouldReturn400"
"Verify GET /Authors/authors/books/{idBook} returns 404 for invalid or missing books","508","checkGetAuthorsByNonexistentBookIdShouldReturn404(String) GET /Authors/authors/books/999999 → should return 404 for nonexistent book ID","","Tue Oct 07 11:59:49 UTC 2025","failed","Tue Oct 07 11:59:49 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorsByNonexistentBookIdShouldReturn404"
"Verify that creating a book with empty fields returns sucess","448","checkUserCanCreateBookWithNullFields()","","Tue Oct 07 12:00:10 UTC 2025","passed","Tue Oct 07 12:00:11 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithNullFields"
"PUT /Authors/{id} should return 400 when firstName is blank","1187","checkShouldReturnBadRequestWhenFirstNameBlank(String) [1] ","","Tue Oct 07 11:59:58 UTC 2025","failed","Tue Oct 07 11:59:59 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenFirstNameBlank"
"Verify GET /Authors/{id} returns 404 Not Found for nonexistent IDs","478","checkGetAuthorWithNonexistentIdShouldReturn404(String) GET /Authors/0 → should return 404 Not Found","","Tue Oct 07 11:59:53 UTC 2025","passed","Tue Oct 07 11:59:54 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithNonexistentIdShouldReturn404"
"PUT /Authors/{id} should return 404 when author does not exist","462","shouldReturn404WhenUpdatingNonExistingAuthor()","","Tue Oct 07 12:00:02 UTC 2025","failed","Tue Oct 07 12:00:02 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","shouldReturn404WhenUpdatingNonExistingAuthor"
