"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that invalid author IDs return 400 Bad Request","282","checkDeleteInvalidAuthorIdShouldReturnBadRequest(String) DELETE /Authors/ю should return 400 Bad Request","","Tue Oct 07 17:52:24 UTC 2025","passed","Tue Oct 07 17:52:25 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteInvalidAuthorIdShouldReturnBadRequest"
"Create a book with emoji and unicode characters","277","checkCreateBookWithEmojiAndUnicode(SoftAssertions)","","Tue Oct 07 17:52:40 UTC 2025","passed","Tue Oct 07 17:52:40 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithEmojiAndUnicode"
"Verify updating an existing book successfully changes its fields and returns 200 OK","540","checkUpdateExistingBookShouldReturnOk(SoftAssertions)","","Tue Oct 07 17:52:54 UTC 2025","passed","Tue Oct 07 17:52:55 UTC 2025","","com.fakeRestApi.tests.book.UpdateBooksTests","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateExistingBookShouldReturnOk"
"Verify that each next book has an earlier publish date than the previous one (newest to oldest order)","32","checkBooksPublishDateIsChronologicallyDecreasing()","","Tue Oct 07 17:52:52 UTC 2025","passed","Tue Oct 07 17:52:52 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkBooksPublishDateIsChronologicallyDecreasing"
"Verify creating author with only one populated field behaves as expected","306","checkCreateAuthorWithSingleField(String) Create author with single field: firstName","","Tue Oct 07 17:52:19 UTC 2025","passed","Tue Oct 07 17:52:19 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithSingleField"
"Verify that creating author with special characters in names is accepted","318","checkCreateAuthorWithSpecialCharacters(SoftAssertions)","","Tue Oct 07 17:52:18 UTC 2025","passed","Tue Oct 07 17:52:18 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithSpecialCharacters"
"PUT /Authors/{id} should return 400 when idBook = 0 (invalid reference)","729","checkShouldReturnBadRequestWhenIdBookInvalid()","","Tue Oct 07 17:52:34 UTC 2025","failed","Tue Oct 07 17:52:34 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenIdBookInvalid"
"Verify GET /Books/{id} returns the correct book when using a valid random ID","293","checkGetBookByRandomIdShouldReturnValidBookById(SoftAssertions)","","Tue Oct 07 17:52:54 UTC 2025","passed","Tue Oct 07 17:52:54 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookByRandomIdShouldReturnValidBookById"
"Verify creating author with only one populated field behaves as expected","286","checkCreateAuthorWithSingleField(String) Create author with single field: lastName","","Tue Oct 07 17:52:19 UTC 2025","passed","Tue Oct 07 17:52:20 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithSingleField"
"Verify that a user can create a book with all required fields and they are correctly returned","293","checkUserCanCreateBookWithAllFields(SoftAssertions)","","Tue Oct 07 17:52:40 UTC 2025","passed","Tue Oct 07 17:52:41 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithAllFields"
"Create a book with numeric-only title and description","269","checkCreateBookWithNumericStrings(SoftAssertions)","","Tue Oct 07 17:52:44 UTC 2025","passed","Tue Oct 07 17:52:44 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithNumericStrings"
"Verify that sending POST /Books without a request body returns 400 Bad Request","314","checkCreateBookWithoutBodyShouldReturnBadRequest()","","Tue Oct 07 17:52:44 UTC 2025","passed","Tue Oct 07 17:52:45 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithoutBodyShouldReturnBadRequest"
"PUT /Authors/{id} should return 400 when firstName is blank","798","checkShouldReturnBadRequestWhenFirstNameBlank(String) [1] ","","Tue Oct 07 17:52:34 UTC 2025","failed","Tue Oct 07 17:52:35 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenFirstNameBlank"
