"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that invalid author IDs return 400 Bad Request","285","checkDeleteInvalidAuthorIdShouldReturnBadRequest(String) DELETE /Authors/$ should return 400 Bad Request","","Wed Oct 08 07:43:11 UTC 2025","passed","Wed Oct 08 07:43:11 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteInvalidAuthorIdShouldReturnBadRequest"
"Verify creating author with only one populated field behaves as expected","296","checkCreateAuthorWithSingleField(String) Create author with single field: firstName","","Wed Oct 08 07:43:05 UTC 2025","passed","Wed Oct 08 07:43:06 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithSingleField"
"Verify GET /Authors/{id} returns correct author by valid ID","290","checkGetAuthorByIdShouldReturnCorrectAuthor(SoftAssertions)","","Wed Oct 08 07:43:17 UTC 2025","passed","Wed Oct 08 07:43:18 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorByIdShouldReturnCorrectAuthor"
"PUT /Authors/{id} should return 400 when firstName is blank","731","checkShouldReturnBadRequestWhenFirstNameBlank(String) [2]  ","","Wed Oct 08 07:43:20 UTC 2025","failed","Wed Oct 08 07:43:21 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenFirstNameBlank"
"PUT /Authors/{id} should return 400 when firstName is blank","793","checkShouldReturnBadRequestWhenFirstNameBlank(String) [1] ","","Wed Oct 08 07:43:19 UTC 2025","failed","Wed Oct 08 07:43:20 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenFirstNameBlank"
"Verify that invalid author IDs return 400 Bad Request","290","checkDeleteInvalidAuthorIdShouldReturnBadRequest(String) DELETE /Authors/null should return 400 Bad Request","","Wed Oct 08 07:43:11 UTC 2025","passed","Wed Oct 08 07:43:11 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteInvalidAuthorIdShouldReturnBadRequest"
"Verify that books are returned in sequential order by ID","89","checkBooksReturnedInSequentialOrder(SoftAssertions)","","Wed Oct 08 07:43:38 UTC 2025","passed","Wed Oct 08 07:43:38 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkBooksReturnedInSequentialOrder"
"Verify that invalid author IDs return 400 Bad Request","347","checkDeleteInvalidAuthorIdShouldReturnBadRequest(String) DELETE /Authors/abc should return 400 Bad Request","","Wed Oct 08 07:43:10 UTC 2025","passed","Wed Oct 08 07:43:10 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteInvalidAuthorIdShouldReturnBadRequest"
"Verify author IDs are in sequential order","7","checkAuthorsAreSortedByIdAscending()","","Wed Oct 08 07:43:18 UTC 2025","passed","Wed Oct 08 07:43:18 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkAuthorsAreSortedByIdAscending"
"Verify all Author IDs are unique","4","checkAuthorIdsAreUnique()","","Wed Oct 08 07:43:14 UTC 2025","passed","Wed Oct 08 07:43:14 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkAuthorIdsAreUnique"
