"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify author IDs are in sequential order","7","checkAuthorsAreSortedByIdAscending()","","Tue Oct 07 20:17:16 UTC 2025","passed","Tue Oct 07 20:17:16 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkAuthorsAreSortedByIdAscending"
"Verify that invalid author IDs return 400 Bad Request","406","checkDeleteInvalidAuthorIdShouldReturnBadRequest(String) DELETE /Authors/! should return 400 Bad Request","","Tue Oct 07 20:17:02 UTC 2025","passed","Tue Oct 07 20:17:02 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteInvalidAuthorIdShouldReturnBadRequest"
"Verify that invalid book IDs return 400 Bad Request","411","checkDeleteInvalidBookIdShouldReturnBadRequest(String) DELETE /Books/abc should return 400 Bad Request","","Tue Oct 07 20:17:37 UTC 2025","passed","Tue Oct 07 20:17:38 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteInvalidBookIdShouldReturnBadRequest"
"PUT /Authors/{id} with non-numeric path should return 400","448","checkShouldReturn400WhenPathIsNonNumeric()","","Tue Oct 07 20:17:29 UTC 2025","passed","Tue Oct 07 20:17:29 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturn400WhenPathIsNonNumeric"
"Verify creating a Book with only one populated field behaves as expected","409","checkCreateBookWithSingleField(String) Create Book with only field: pageCount","","Tue Oct 07 20:17:32 UTC 2025","passed","Tue Oct 07 20:17:32 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSingleField"
"PUT /Authors/{id} should return 400 when idBook = 0 (invalid reference)","1235","checkShouldReturnBadRequestWhenIdBookInvalid()","","Tue Oct 07 20:17:20 UTC 2025","failed","Tue Oct 07 20:17:21 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenIdBookInvalid"
"Verify updating a book without a request body returns 400 Bad Request","5","checkUpdateBookWithoutBodyShouldReturnBadRequest()","","Tue Oct 07 20:17:55 UTC 2025","broken","Tue Oct 07 20:17:55 UTC 2025","","com.fakeRestApi.tests.book.UpdateBooksTests","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateBookWithoutBodyShouldReturnBadRequest"
"PUT /Authors/{id} should return 400 when lastName is blank","1031","checkShouldReturnBadRequestWhenLastNameBlank(String) [2]  ","","Tue Oct 07 20:17:26 UTC 2025","failed","Tue Oct 07 20:17:27 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenLastNameBlank"
"Verify GET /Authors/{id} returns 400 Bad Request for malformed IDs","625","checkGetAuthorWithInvalidIdShouldReturnBadRequest(String) GET /Authors/$ → should return 400 Bad Request","","Tue Oct 07 20:17:11 UTC 2025","passed","Tue Oct 07 20:17:12 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithInvalidIdShouldReturnBadRequest"
"Verify double deletion returns 404 for the second call","1168","checkDeleteBookTwiceShouldReturnNotFoundSecondTime()","","Tue Oct 07 20:17:42 UTC 2025","failed","Tue Oct 07 20:17:43 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteBookTwiceShouldReturnNotFoundSecondTime"
"Verify GET /Authors/{id} returns 400 Bad Request for malformed IDs","471","checkGetAuthorWithInvalidIdShouldReturnBadRequest(String) GET /Authors/abc → should return 400 Bad Request","","Tue Oct 07 20:17:10 UTC 2025","passed","Tue Oct 07 20:17:11 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithInvalidIdShouldReturnBadRequest"
"Verify that deleting an existing author returns 200 OK and subsequent GET returns 404 Not Found","1425","checkDeleteExistingAuthorShouldReturnOkAndAuthorShouldBeGone()","","Tue Oct 07 20:16:59 UTC 2025","failed","Tue Oct 07 20:17:00 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteExistingAuthorShouldReturnOkAndAuthorShouldBeGone"
"Verify that POST /Authors without body returns 400 Bad Request","1079","checkCreateAuthorWithoutBodyShouldReturnBadRequest(SoftAssertions)","","Tue Oct 07 20:16:56 UTC 2025","passed","Tue Oct 07 20:16:57 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithoutBodyShouldReturnBadRequest"
"Verify that creating a book with empty all fields returns 400 Bad Request","436","checkUserCanCreateBookWithEmptyFields()","","Tue Oct 07 20:17:33 UTC 2025","passed","Tue Oct 07 20:17:34 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithEmptyFields"
"Verify that books are returned in sequential order by ID","96","checkBooksReturnedInSequentialOrder(SoftAssertions)","","Tue Oct 07 20:17:50 UTC 2025","passed","Tue Oct 07 20:17:50 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkBooksReturnedInSequentialOrder"
"Verify deleting a non-existent author returns 404 Not Found","443","checkDeleteNonexistentAuthorShouldReturnNotFound()","","Tue Oct 07 20:16:58 UTC 2025","failed","Tue Oct 07 20:16:59 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteNonexistentAuthorShouldReturnNotFound"
"Verify GET /Authors/authors/books/{idBook} returns 404 for invalid or missing books","446","checkGetAuthorsByNonexistentBookIdShouldReturnBadRequest(String) GET /Authors/authors/books/-1 → should return 404 for nonexistent book ID","","Tue Oct 07 20:17:06 UTC 2025","failed","Tue Oct 07 20:17:06 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorsByNonexistentBookIdShouldReturnBadRequest"
"Verify GET /Books/{id} returns 404 Not Found for nonexistent or invalid numeric IDs","768","checkGetBookWithNonexistentIdShouldReturnNotFound(String) GET /Books/0 should return 404 Not Found","","Tue Oct 07 20:17:47 UTC 2025","passed","Tue Oct 07 20:17:48 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithNonexistentIdShouldReturnNotFound"
"Verify GET /Books/{id} returns 400 Bad Request when ID is invalid","425","checkGetBookWithInvalidIdShouldReturnBadRequest(String) GET /Books/$ should return 400 Bad Request","","Tue Oct 07 20:17:47 UTC 2025","passed","Tue Oct 07 20:17:47 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithInvalidIdShouldReturnBadRequest"
"Verify updating each single field one by one (title, description, pageCount, excerpt, publishDate)","2387","checkUpdateBookSingleFieldsIndividually()","","Tue Oct 07 20:17:53 UTC 2025","passed","Tue Oct 07 20:17:55 UTC 2025","","com.fakeRestApi.tests.book.UpdateBooksTests","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateBookSingleFieldsIndividually"
"Verify GET /Authors/{id} returns 404 Not Found for nonexistent IDs","793","checkGetAuthorWithNonexistentIdShouldReturnBadRequest(String) GET /Authors/-5 → should return 404 Not Found","","Tue Oct 07 20:17:08 UTC 2025","passed","Tue Oct 07 20:17:09 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithNonexistentIdShouldReturnBadRequest"
"Verify GET /Books/{id} returns 400 Bad Request when ID is invalid","419","checkGetBookWithInvalidIdShouldReturnBadRequest(String) GET /Books/ю should return 400 Bad Request","","Tue Oct 07 20:17:46 UTC 2025","passed","Tue Oct 07 20:17:46 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithInvalidIdShouldReturnBadRequest"
"Verify that invalid book IDs return 400 Bad Request","407","checkDeleteInvalidBookIdShouldReturnBadRequest(String) DELETE /Books/null should return 400 Bad Request","","Tue Oct 07 20:17:39 UTC 2025","passed","Tue Oct 07 20:17:39 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteInvalidBookIdShouldReturnBadRequest"
"PUT /Authors/{id} should return 400 when body ID mismatches path ID","2438","checkShouldReturnBadRequestOnIdMismatch()","","Tue Oct 07 20:17:16 UTC 2025","failed","Tue Oct 07 20:17:19 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestOnIdMismatch"
