"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /Books/{id} returns the correct book when using a valid random ID","783","checkGetBookByRandomIdShouldReturnValidBookById()","","Tue Oct 07 16:02:54 UTC 2025","passed","Tue Oct 07 16:02:55 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookByRandomIdShouldReturnValidBookById"
"Verify that creating a book with empty fields except 'publishDate' returns 400 Bad Request","455","checkUserCanCreateBookWithEmptyFieldsExceptDate(SoftAssertions)","","Tue Oct 07 16:02:36 UTC 2025","passed","Tue Oct 07 16:02:36 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithEmptyFieldsExceptDate"
"Verify that creating a book with invalid or empty publishDate returns 400 Bad Request and correct validation error","486","checkCreateBookWithEmptyPublishDateShouldReturnBadRequest()","","Tue Oct 07 16:02:38 UTC 2025","passed","Tue Oct 07 16:02:38 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithEmptyPublishDateShouldReturnBadRequest"
"Verify GET /Books/{id} returns 400 Bad Request when ID is invalid","528","checkGetBookWithInvalidIdShouldReturnBadRequest(String) GET /Books/abc should return 400 Bad Request","","Tue Oct 07 16:02:48 UTC 2025","passed","Tue Oct 07 16:02:49 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithInvalidIdShouldReturnBadRequest"
"PUT /Authors/{id} should return 404 when author does not exist","483","shouldReturn404WhenUpdatingNonExistingAuthor()","","Tue Oct 07 16:02:23 UTC 2025","failed","Tue Oct 07 16:02:23 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","shouldReturn404WhenUpdatingNonExistingAuthor"
"Verify that creating a book with a past publish date is allowed and the date is stored correctly","1602","checkCreateBookWithPastPublishDate(SoftAssertions)","","Tue Oct 07 16:02:28 UTC 2025","passed","Tue Oct 07 16:02:29 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithPastPublishDate"
"Create a book with special characters in all string fields","465","checkCreateBookWithSpecialSymbols(SoftAssertions)","","Tue Oct 07 16:02:34 UTC 2025","passed","Tue Oct 07 16:02:35 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSpecialSymbols"
"Create a book with a title that includes mixed characters","455","checkCreateBookWithMixedCharacters(SoftAssertions)","","Tue Oct 07 16:02:37 UTC 2025","passed","Tue Oct 07 16:02:37 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithMixedCharacters"
"PUT /Authors/{id} should return 400 when lastName is blank","1304","checkShouldReturnBadRequestWhenLastNameBlank(String) [2]  ","","Tue Oct 07 16:02:25 UTC 2025","failed","Tue Oct 07 16:02:26 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenLastNameBlank"
"PUT /Authors/{id} with non-numeric path should return 400","473","checkShouldReturn400WhenPathIsNonNumeric()","","Tue Oct 07 16:02:27 UTC 2025","passed","Tue Oct 07 16:02:28 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturn400WhenPathIsNonNumeric"
