"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /Books/{id} returns 400 Bad Request when ID is invalid","518","checkGetBookWithInvalidIdShouldReturnBadRequest(String) GET /Books/abc should return 400 Bad Request","","Tue Oct 07 17:46:08 UTC 2025","passed","Tue Oct 07 17:46:09 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithInvalidIdShouldReturnBadRequest"
"Verify creating a Book with only one populated field behaves as expected","474","checkCreateBookWithSingleField(String) Create Book with only field: publishDate","","Tue Oct 07 17:45:53 UTC 2025","passed","Tue Oct 07 17:45:53 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSingleField"
"Verify GET /Authors/{id} returns 400 Bad Request for malformed IDs","492","checkGetAuthorWithInvalidIdShouldReturnBadRequest(String) GET /Authors/$ → should return 400 Bad Request","","Tue Oct 07 17:45:32 UTC 2025","passed","Tue Oct 07 17:45:33 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithInvalidIdShouldReturnBadRequest"
"Verify that books are returned in sequential order by ID","59","checkBooksReturnedInSequentialOrder(SoftAssertions)","","Tue Oct 07 17:46:12 UTC 2025","passed","Tue Oct 07 17:46:13 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkBooksReturnedInSequentialOrder"
"Verify that POST /Authors without body returns 400 Bad Request","1127","checkCreateAuthorWithoutBodyShouldReturnBadRequest(SoftAssertions)","","Tue Oct 07 17:45:18 UTC 2025","passed","Tue Oct 07 17:45:19 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithoutBodyShouldReturnBadRequest"
"PUT /Authors/{id} should return 400 when idBook = 0 (invalid reference)","1410","checkShouldReturnBadRequestWhenIdBookInvalid()","","Tue Oct 07 17:45:39 UTC 2025","failed","Tue Oct 07 17:45:40 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenIdBookInvalid"
"Verify that invalid book IDs return 400 Bad Request","481","checkDeleteInvalidBookIdShouldReturnBadRequest(String) DELETE /Books/ю should return 400 Bad Request","","Tue Oct 07 17:45:59 UTC 2025","passed","Tue Oct 07 17:46:00 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteInvalidBookIdShouldReturnBadRequest"
"Verify creating a Book with only one populated field behaves as expected","483","checkCreateBookWithSingleField(String) Create Book with only field: pageCount","","Tue Oct 07 17:45:52 UTC 2025","passed","Tue Oct 07 17:45:52 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSingleField"
"Verify GET /Authors/authors/books/{idBook} returns 404 for invalid or missing books","476","checkGetAuthorsByNonexistentBookIdShouldReturnBadRequest(String) GET /Authors/authors/books/9999999 → should return 404 for nonexistent book ID","","Tue Oct 07 17:45:29 UTC 2025","failed","Tue Oct 07 17:45:29 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorsByNonexistentBookIdShouldReturnBadRequest"
"Verify DELETE /Authors without specifying ID returns 405 Method Not Allowed","485","checkDeleteWithoutIdShouldReturn405()","","Tue Oct 07 17:45:26 UTC 2025","passed","Tue Oct 07 17:45:26 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteWithoutIdShouldReturn405"
