"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user can create an author with minimal valid data","375","checkUserCanCreateAuthorWithMinimalData()","","Tue Oct 07 12:00:28 UTC 2025","passed","Tue Oct 07 12:00:28 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkUserCanCreateAuthorWithMinimalData"
"PUT /Authors/{id} should return 400 when lastName is blank","926","checkShouldReturnBadRequestWhenLastNameBlank(String) [3] 
","","Tue Oct 07 12:00:50 UTC 2025","failed","Tue Oct 07 12:00:51 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenLastNameBlank"
"PUT /Authors/{id} should return 400 when body ID mismatches path ID","955","checkShouldReturnBadRequestOnIdMismatch()","","Tue Oct 07 12:00:43 UTC 2025","failed","Tue Oct 07 12:00:44 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestOnIdMismatch"
"Verify double deletion returns 404 for the second call","1040","checkDeleteAuthorTwiceShouldReturnNotFoundSecondTime()","","Tue Oct 07 12:00:33 UTC 2025","failed","Tue Oct 07 12:00:34 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteAuthorTwiceShouldReturnNotFoundSecondTime"
"Verify that all book IDs are unique across the list","2","checkReturnedBookIdsAreUnique()","","Tue Oct 07 12:01:04 UTC 2025","passed","Tue Oct 07 12:01:04 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkReturnedBookIdsAreUnique"
"Verify all Author IDs are unique","5","checkAuthorIdsAreUnique()","","Tue Oct 07 12:00:38 UTC 2025","passed","Tue Oct 07 12:00:38 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkAuthorIdsAreUnique"
"Verify updating each single field one by one (title, description, pageCount, excerpt, publishDate)","2078","checkUpdateBookSingleFieldsIndividually()","","Tue Oct 07 12:01:09 UTC 2025","passed","Tue Oct 07 12:01:12 UTC 2025","","com.fakeRestApi.tests.book.UpdateBooksTests","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateBookSingleFieldsIndividually"
"Verify that a user can create a book with all required fields and they are correctly returned","338","checkUserCanCreateBookWithAllFields()","","Tue Oct 07 12:00:52 UTC 2025","passed","Tue Oct 07 12:00:52 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithAllFields"
"Verify that deleting an existing author returns 200 OK and subsequent GET returns 404 Not Found","1043","checkDeleteExistingAuthorShouldReturnOkAndAuthorShouldBeGone()","","Tue Oct 07 12:00:32 UTC 2025","failed","Tue Oct 07 12:00:33 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteExistingAuthorShouldReturnOkAndAuthorShouldBeGone"
"Verify that sending POST /Books without a request body returns 400 Bad Request","370","checkCreateBookWithoutBodyShouldReturnBadRequest()","","Tue Oct 07 12:00:57 UTC 2025","passed","Tue Oct 07 12:00:58 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithoutBodyShouldReturnBadRequest"
"Verify deleting a non-existent book returns 404 Not Found","349","checkDeleteNonexistentBookShouldReturnNotFound()","","Tue Oct 07 12:01:01 UTC 2025","failed","Tue Oct 07 12:01:02 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteNonexistentBookShouldReturnNotFound"
"Verify deleting a non-existent author returns 404 Not Found","396","checkDeleteNonexistentAuthorShouldReturnNotFound()","","Tue Oct 07 12:00:31 UTC 2025","failed","Tue Oct 07 12:00:32 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteNonexistentAuthorShouldReturnNotFound"
"Verify that creating a book with empty all fields returns 400 Bad Request","382","checkUserCanCreateBookWithEmptyFields()","","Tue Oct 07 12:00:55 UTC 2025","passed","Tue Oct 07 12:00:55 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithEmptyFields"
"Verify that user can create an author with all required valid fields","3037","checkUserCanCreateAuthorWithAllFields()","","Tue Oct 07 12:00:24 UTC 2025","passed","Tue Oct 07 12:00:27 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkUserCanCreateAuthorWithAllFields"
"Verify that creating an author with null fields returns 400 Bad Request","376","checkCreateAuthorWithNullFieldsShouldReturnBadRequest()","","Tue Oct 07 12:00:27 UTC 2025","failed","Tue Oct 07 12:00:28 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithNullFieldsShouldReturnBadRequest"
"Verify that invalid book IDs return 400 Bad Request","351","checkDeleteInvalidBookIdShouldReturn400(String) DELETE /Books/abc should return 400 Bad Request","","Tue Oct 07 12:01:00 UTC 2025","passed","Tue Oct 07 12:01:00 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteInvalidBookIdShouldReturn400"
"Verify that deleting an existing book returns 204 No Content and subsequent GET returns 404 Not Found","1356","checkDeleteExistingBookShouldReturnOkAndBookShouldBeGone()","","Tue Oct 07 12:00:58 UTC 2025","passed","Tue Oct 07 12:01:00 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteExistingBookShouldReturnOkAndBookShouldBeGone"
"PUT /Authors/{id} should return 400 when lastName is blank","837","checkShouldReturnBadRequestWhenLastNameBlank(String) [2]  ","","Tue Oct 07 12:00:49 UTC 2025","failed","Tue Oct 07 12:00:50 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenLastNameBlank"
"Verify creating a Book with only one populated field behaves as expected","363","checkCreateBookWithSingleField(String) Create Book with only field: title","","Tue Oct 07 12:00:53 UTC 2025","passed","Tue Oct 07 12:00:53 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSingleField"
"Create a book with emoji and unicode characters","343","checkCreateBookWithEmojiAndUnicode()","","Tue Oct 07 12:00:52 UTC 2025","passed","Tue Oct 07 12:00:52 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithEmojiAndUnicode"
"Verify that invalid book IDs return 400 Bad Request","372","checkDeleteInvalidBookIdShouldReturn400(String) DELETE /Books/null should return 400 Bad Request","","Tue Oct 07 12:01:01 UTC 2025","passed","Tue Oct 07 12:01:01 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteInvalidBookIdShouldReturn400"
"Create a book with a title that includes mixed characters","334","checkCreateBookWithMixedCharacters()","","Tue Oct 07 12:00:57 UTC 2025","passed","Tue Oct 07 12:00:57 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithMixedCharacters"
"PUT /Authors/{id} should return 400 when firstName is blank","863","checkShouldReturnBadRequestWhenFirstNameBlank(String) [1] ","","Tue Oct 07 12:00:45 UTC 2025","failed","Tue Oct 07 12:00:46 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenFirstNameBlank"
"Verify GET /Authors/{id} returns 404 Not Found for nonexistent IDs","382","checkGetAuthorWithNonexistentIdShouldReturn404(String) GET /Authors/0 → should return 404 Not Found","","Tue Oct 07 12:00:41 UTC 2025","passed","Tue Oct 07 12:00:42 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithNonexistentIdShouldReturn404"
"Verify GET /Authors/authors/books/{idBook} returns 404 for invalid or missing books","345","checkGetAuthorsByNonexistentBookIdShouldReturn404(String) GET /Authors/authors/books/-1 → should return 404 for nonexistent book ID","","Tue Oct 07 12:00:37 UTC 2025","failed","Tue Oct 07 12:00:38 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorsByNonexistentBookIdShouldReturn404"
"PUT /Authors/{id} should return 400 when idBook = 0 (invalid reference)","878","checkShouldReturnBadRequestWhenIdBookInvalid()","","Tue Oct 07 12:00:44 UTC 2025","failed","Tue Oct 07 12:00:45 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenIdBookInvalid"
