"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify creating a Book with only one populated field behaves as expected","290","checkCreateBookWithSingleField(String) Create Book with only field: pageCount","","Tue Oct 07 11:53:27 UTC 2025","passed","Tue Oct 07 11:53:27 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSingleField"
"PUT /Authors/{id} should return 400 when idBook = 0 (invalid reference)","723","checkShouldReturnBadRequestWhenIdBookInvalid()","","Tue Oct 07 11:53:17 UTC 2025","failed","Tue Oct 07 11:53:18 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenIdBookInvalid"
"Verify GET /Authors/{id} returns 404 Not Found for nonexistent IDs","293","checkGetAuthorWithNonexistentIdShouldReturn404(String) GET /Authors/-5 → should return 404 Not Found","","Tue Oct 07 11:53:15 UTC 2025","passed","Tue Oct 07 11:53:15 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithNonexistentIdShouldReturn404"
"Verify GET /Books/{id} returns 400 Bad Request when ID is invalid","315","checkGetBookWithInvalidIdShouldReturnBadRequest(String) GET /Books/abc should return 400 Bad Request","","Tue Oct 07 11:53:37 UTC 2025","passed","Tue Oct 07 11:53:37 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithInvalidIdShouldReturnBadRequest"
"Verify updating a book with empty strings returns 400 Bad Request","562","checkUpdateBookWithEmptyFieldsShouldReturn400()","","Tue Oct 07 11:53:43 UTC 2025","passed","Tue Oct 07 11:53:43 UTC 2025","","com.fakeRestApi.tests.book.UpdateBooksTests","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateBookWithEmptyFieldsShouldReturn400"
"Verify that user can create an author with all required valid fields","2907","checkUserCanCreateAuthorWithAllFields()","","Tue Oct 07 11:53:00 UTC 2025","passed","Tue Oct 07 11:53:03 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkUserCanCreateAuthorWithAllFields"
"Verify that invalid book IDs return 400 Bad Request","297","checkDeleteInvalidBookIdShouldReturn400(String) DELETE /Books/! should return 400 Bad Request","","Tue Oct 07 11:53:32 UTC 2025","passed","Tue Oct 07 11:53:33 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteInvalidBookIdShouldReturn400"
"Verify that creating a book with empty all fields returns 400 Bad Request","319","checkUserCanCreateBookWithEmptyFields()","","Tue Oct 07 11:53:28 UTC 2025","passed","Tue Oct 07 11:53:29 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithEmptyFields"
"Verify that invalid author IDs return 400 Bad Request","305","checkDeleteInvalidAuthorIdShouldReturn400(String) DELETE /Authors/! should return 400 Bad Request","","Tue Oct 07 11:53:09 UTC 2025","passed","Tue Oct 07 11:53:09 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteInvalidAuthorIdShouldReturn400"
"Verify GET /Books/{id} returns 404 Not Found for nonexistent or invalid numeric IDs","560","checkGetBookWithNonexistentIdShouldReturnNotFound(String) GET /Books/-5 should return 404 Not Found","","Tue Oct 07 11:53:39 UTC 2025","passed","Tue Oct 07 11:53:39 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithNonexistentIdShouldReturnNotFound"
"PUT /Authors/{id} should return 400 when lastName is blank","737","checkShouldReturnBadRequestWhenLastNameBlank(String) [3] 
","","Tue Oct 07 11:53:24 UTC 2025","failed","Tue Oct 07 11:53:25 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenLastNameBlank"
"Verify that creating a book with empty fields except 'publishDate' returns 400 Bad Request","295","checkUserCanCreateBookWithEmptyFieldsExceptDate()","","Tue Oct 07 11:53:29 UTC 2025","passed","Tue Oct 07 11:53:30 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithEmptyFieldsExceptDate"
"PUT /Authors/{id} should return 400 when firstName is blank","704","checkShouldReturnBadRequestWhenFirstNameBlank(String) [3] 	","","Tue Oct 07 11:53:19 UTC 2025","failed","Tue Oct 07 11:53:20 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenFirstNameBlank"
"Verify that creating an author with null fields returns 400 Bad Request","332","checkCreateAuthorWithNullFieldsShouldReturnBadRequest()","","Tue Oct 07 11:53:03 UTC 2025","failed","Tue Oct 07 11:53:03 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithNullFieldsShouldReturnBadRequest"
"Verify double deletion returns 404 for the second call","845","checkDeleteBookTwiceShouldReturnNotFoundSecondTime()","","Tue Oct 07 11:53:34 UTC 2025","failed","Tue Oct 07 11:53:35 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteBookTwiceShouldReturnNotFoundSecondTime"
"Verify that invalid author IDs return 400 Bad Request","286","checkDeleteInvalidAuthorIdShouldReturn400(String) DELETE /Authors/abc should return 400 Bad Request","","Tue Oct 07 11:53:09 UTC 2025","passed","Tue Oct 07 11:53:09 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteInvalidAuthorIdShouldReturn400"
"PUT /Authors/{id} should return 404 when author does not exist","296","shouldReturn404WhenUpdatingNonExistingAuthor()","","Tue Oct 07 11:53:20 UTC 2025","failed","Tue Oct 07 11:53:20 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","shouldReturn404WhenUpdatingNonExistingAuthor"
"Create a book with emoji and unicode characters","307","checkCreateBookWithEmojiAndUnicode()","","Tue Oct 07 11:53:26 UTC 2025","passed","Tue Oct 07 11:53:26 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithEmojiAndUnicode"
"Verify GET /Authors/{id} returns 404 Not Found for nonexistent IDs","301","checkGetAuthorWithNonexistentIdShouldReturn404(String) GET /Authors/0 → should return 404 Not Found","","Tue Oct 07 11:53:15 UTC 2025","passed","Tue Oct 07 11:53:15 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithNonexistentIdShouldReturn404"
"Verify GET /Books returns non-empty list and valid fields","684","checkGetAllBooksShouldReturnValidBooksList()","","Tue Oct 07 11:53:39 UTC 2025","passed","Tue Oct 07 11:53:40 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetAllBooksShouldReturnValidBooksList"
"Verify that creating author with special characters in names is accepted","371","checkCreateAuthorWithSpecialCharacters()","","Tue Oct 07 11:53:03 UTC 2025","passed","Tue Oct 07 11:53:03 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithSpecialCharacters"
"Verify that sending POST /Books without a request body returns 400 Bad Request","330","checkCreateBookWithoutBodyShouldReturnBadRequest()","","Tue Oct 07 11:53:30 UTC 2025","passed","Tue Oct 07 11:53:31 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithoutBodyShouldReturnBadRequest"
"Verify creating a Book with only one populated field behaves as expected","289","checkCreateBookWithSingleField(String) Create Book with only field: excerpt","","Tue Oct 07 11:53:27 UTC 2025","passed","Tue Oct 07 11:53:28 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSingleField"
"Verify GET /Authors/authors/books/{idBook} returns 404 for invalid or missing books","292","checkGetAuthorsByNonexistentBookIdShouldReturn404(String) GET /Authors/authors/books/-1 → should return 404 for nonexistent book ID","","Tue Oct 07 11:53:11 UTC 2025","failed","Tue Oct 07 11:53:12 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorsByNonexistentBookIdShouldReturn404"
"Verify updating an existing book successfully changes its fields and returns 200 OK","579","checkUpdateExistingBookShouldReturn200()","","Tue Oct 07 11:53:44 UTC 2025","passed","Tue Oct 07 11:53:44 UTC 2025","","com.fakeRestApi.tests.book.UpdateBooksTests","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateExistingBookShouldReturn200"
"Verify that creating a book with empty fields returns sucess","290","checkUserCanCreateBookWithNullFields()","","Tue Oct 07 11:53:28 UTC 2025","passed","Tue Oct 07 11:53:28 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithNullFields"
"Create a book with a title that includes mixed characters","290","checkCreateBookWithMixedCharacters()","","Tue Oct 07 11:53:30 UTC 2025","passed","Tue Oct 07 11:53:30 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithMixedCharacters"
"Verify that deleting an existing author returns 200 OK and subsequent GET returns 404 Not Found","891","checkDeleteExistingAuthorShouldReturnOkAndAuthorShouldBeGone()","","Tue Oct 07 11:53:07 UTC 2025","failed","Tue Oct 07 11:53:08 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteExistingAuthorShouldReturnOkAndAuthorShouldBeGone"
"Verify GET /Books/{id} returns 400 Bad Request when ID is invalid","303","checkGetBookWithInvalidIdShouldReturnBadRequest(String) GET /Books/$ should return 400 Bad Request","","Tue Oct 07 11:53:38 UTC 2025","passed","Tue Oct 07 11:53:38 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithInvalidIdShouldReturnBadRequest"
"Verify GET /Authors/{id} returns 400 Bad Request for malformed IDs","287","checkGetAuthorWithInvalidIdShouldReturn400(String) GET /Authors/ю → should return 400 Bad Request","","Tue Oct 07 11:53:14 UTC 2025","passed","Tue Oct 07 11:53:14 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithInvalidIdShouldReturn400"
"Verify double deletion returns 404 for the second call","876","checkDeleteAuthorTwiceShouldReturnNotFoundSecondTime()","","Tue Oct 07 11:53:08 UTC 2025","failed","Tue Oct 07 11:53:09 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteAuthorTwiceShouldReturnNotFoundSecondTime"
"Verify deleting a non-existent book returns 404 Not Found","279","checkDeleteNonexistentBookShouldReturnNotFound()","","Tue Oct 07 11:53:34 UTC 2025","failed","Tue Oct 07 11:53:34 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteNonexistentBookShouldReturnNotFound"
"Verify updating a non-existent book returns 404 Not Found","286","checkUpdateNonExistentBookShouldReturn404()","","Tue Oct 07 11:53:43 UTC 2025","failed","Tue Oct 07 11:53:44 UTC 2025","","com.fakeRestApi.tests.book.UpdateBooksTests","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateNonExistentBookShouldReturn404"
"Verify creating a Book with only one populated field behaves as expected","288","checkCreateBookWithSingleField(String) Create Book with only field: publishDate","","Tue Oct 07 11:53:28 UTC 2025","passed","Tue Oct 07 11:53:28 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSingleField"
"Verify each author has a valid first and last name pattern","28","checkAuthorNamesHaveValidPattern()","","Tue Oct 07 11:53:12 UTC 2025","passed","Tue Oct 07 11:53:12 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkAuthorNamesHaveValidPattern"
"Verify that each next book has an earlier publish date than the previous one (newest to oldest order)","31","checkBooksPublishDateIsChronologicallyDecreasing()","","Tue Oct 07 11:53:38 UTC 2025","passed","Tue Oct 07 11:53:38 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkBooksPublishDateIsChronologicallyDecreasing"
"Verify GET /Authors/authors/books/{idBook} returns 404 for invalid or missing books","287","checkGetAuthorsByNonexistentBookIdShouldReturn404(String) GET /Authors/authors/books/999999 → should return 404 for nonexistent book ID","","Tue Oct 07 11:53:12 UTC 2025","failed","Tue Oct 07 11:53:12 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorsByNonexistentBookIdShouldReturn404"
"Verify that invalid book IDs return 400 Bad Request","289","checkDeleteInvalidBookIdShouldReturn400(String) DELETE /Books/abc should return 400 Bad Request","","Tue Oct 07 11:53:32 UTC 2025","passed","Tue Oct 07 11:53:32 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteInvalidBookIdShouldReturn400"
"Verify all Author IDs are unique","4","checkAuthorIdsAreUnique()","","Tue Oct 07 11:53:12 UTC 2025","passed","Tue Oct 07 11:53:12 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkAuthorIdsAreUnique"
"PUT /Authors/{id} with non-numeric path should return 400","280","shouldReturn400WhenPathIsNonNumeric()","","Tue Oct 07 11:53:25 UTC 2025","passed","Tue Oct 07 11:53:25 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","shouldReturn400WhenPathIsNonNumeric"
"Verify GET /Books/{id} returns 400 Bad Request when ID is invalid","470","checkGetBookWithInvalidIdShouldReturnBadRequest(String) GET /Books/! should return 400 Bad Request","","Tue Oct 07 11:53:37 UTC 2025","passed","Tue Oct 07 11:53:38 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithInvalidIdShouldReturnBadRequest"
"Verify updating a book with null fields returns 400 Bad Request","607","checkUpdateBookWithNullFieldsShouldReturn400()","","Tue Oct 07 11:53:40 UTC 2025","failed","Tue Oct 07 11:53:41 UTC 2025","","com.fakeRestApi.tests.book.UpdateBooksTests","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateBookWithNullFieldsShouldReturn400"
"Verify GET /Authors returns non-empty list and all fields are valid","486","checkGetAllAuthorsShouldReturnValidList()","","Tue Oct 07 11:53:12 UTC 2025","passed","Tue Oct 07 11:53:13 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAllAuthorsShouldReturnValidList"
"Create a book with special characters in all string fields","287","checkCreateBookWithSpecialSymbols()","","Tue Oct 07 11:53:29 UTC 2025","passed","Tue Oct 07 11:53:29 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSpecialSymbols"
