"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify DELETE /Books without specifying ID returns 405 Method Not Allowed","272","checkDeleteWithoutIdShouldReturn405()","","Tue Oct 07 20:04:14 UTC 2025","passed","Tue Oct 07 20:04:14 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteWithoutIdShouldReturn405"
"Verify GET /Authors/authors/books/{idBook} returns 404 for invalid or missing books","272","checkGetAuthorsByNonexistentBookIdShouldReturnBadRequest(String) GET /Authors/authors/books/-1 → should return 404 for nonexistent book ID","","Tue Oct 07 20:03:54 UTC 2025","failed","Tue Oct 07 20:03:54 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorsByNonexistentBookIdShouldReturnBadRequest"
"Verify that creating a book with a past publish date is allowed and the date is stored correctly","432","checkCreateBookWithPastPublishDate(SoftAssertions)","","Tue Oct 07 20:04:06 UTC 2025","passed","Tue Oct 07 20:04:06 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithPastPublishDate"
"Verify deleting a non-existent book returns 404 Not Found","262","checkDeleteNonexistentBookShouldReturnNotFound()","","Tue Oct 07 20:04:14 UTC 2025","failed","Tue Oct 07 20:04:14 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteNonexistentBookShouldReturnNotFound"
"Verify that invalid author IDs return 400 Bad Request","295","checkDeleteInvalidAuthorIdShouldReturnBadRequest(String) DELETE /Authors/abc should return 400 Bad Request","","Tue Oct 07 20:03:51 UTC 2025","passed","Tue Oct 07 20:03:51 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteInvalidAuthorIdShouldReturnBadRequest"
"Verify DELETE /Authors without specifying ID returns 405 Method Not Allowed","265","checkDeleteWithoutIdShouldReturn405()","","Tue Oct 07 20:03:52 UTC 2025","passed","Tue Oct 07 20:03:52 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteWithoutIdShouldReturn405"
"PUT /Authors/{id} should return 400 when lastName is blank","763","checkShouldReturnBadRequestWhenLastNameBlank(String) [1] ","","Tue Oct 07 20:04:03 UTC 2025","failed","Tue Oct 07 20:04:04 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenLastNameBlank"
"Verify GET /Books/{id} returns 400 Bad Request when ID is invalid","287","checkGetBookWithInvalidIdShouldReturnBadRequest(String) GET /Books/ю should return 400 Bad Request","","Tue Oct 07 20:04:17 UTC 2025","passed","Tue Oct 07 20:04:17 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithInvalidIdShouldReturnBadRequest"
"Verify double deletion returns 404 for the second call","821","checkDeleteAuthorTwiceShouldReturnNotFoundSecondTime()","","Tue Oct 07 20:03:50 UTC 2025","failed","Tue Oct 07 20:03:51 UTC 2025","","com.fakeRestApi.tests.author.DeleteAuthorsTests","com.fakeRestApi.tests.author.DeleteAuthorsTests","checkDeleteAuthorTwiceShouldReturnNotFoundSecondTime"
"Verify that invalid book IDs return 400 Bad Request","268","checkDeleteInvalidBookIdShouldReturnBadRequest(String) DELETE /Books/$ should return 400 Bad Request","","Tue Oct 07 20:04:12 UTC 2025","passed","Tue Oct 07 20:04:12 UTC 2025","","com.fakeRestApi.tests.book.DeleteBooksTests","com.fakeRestApi.tests.book.DeleteBooksTests","checkDeleteInvalidBookIdShouldReturnBadRequest"
