"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that creating a book with empty fields returns sucess","294","checkUserCanCreateBookWithNullFields()","","Tue Oct 07 11:12:50 UTC 2025","passed","Tue Oct 07 11:12:50 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkUserCanCreateBookWithNullFields"
"Verify GET /Authors/{id} returns 400 Bad Request for malformed IDs","286","checkGetAuthorWithInvalidIdShouldReturn400(String) GET /Authors/$ → should return 400 Bad Request","","Tue Oct 07 11:12:36 UTC 2025","passed","Tue Oct 07 11:12:37 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithInvalidIdShouldReturn400"
"PUT /Authors/{id} should return 400 when lastName is blank","706","checkShouldReturnBadRequestWhenLastNameBlank(String) [2]  ","","Tue Oct 07 11:12:45 UTC 2025","failed","Tue Oct 07 11:12:46 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenLastNameBlank"
"Verify GET /Authors/{id} returns 404 Not Found for nonexistent IDs","735","checkGetAuthorWithNonexistentIdShouldReturn404(String) GET /Authors/-5 → should return 404 Not Found","","Tue Oct 07 11:12:38 UTC 2025","passed","Tue Oct 07 11:12:39 UTC 2025","","com.fakeRestApi.tests.author.GetAuthorsTests","com.fakeRestApi.tests.author.GetAuthorsTests","checkGetAuthorWithNonexistentIdShouldReturn404"
"Verify updating an existing book successfully changes its fields and returns 200 OK","543","checkUpdateExistingBookShouldReturn200()","","Tue Oct 07 11:13:07 UTC 2025","passed","Tue Oct 07 11:13:08 UTC 2025","","com.fakeRestApi.tests.book.UpdateBooksTests","com.fakeRestApi.tests.book.UpdateBooksTests","checkUpdateExistingBookShouldReturn200"
"PUT /Authors/{id} should return 400 when firstName is blank","740","checkShouldReturnBadRequestWhenFirstNameBlank(String) [2]  ","","Tue Oct 07 11:12:43 UTC 2025","failed","Tue Oct 07 11:12:44 UTC 2025","","com.fakeRestApi.tests.author.UpdateAuthorsTests","com.fakeRestApi.tests.author.UpdateAuthorsTests","checkShouldReturnBadRequestWhenFirstNameBlank"
"Verify GET /Books/{id} returns 400 Bad Request when ID is invalid","294","checkGetBookWithInvalidIdShouldReturnBadRequest(String) GET /Books/abc should return 400 Bad Request","","Tue Oct 07 11:12:59 UTC 2025","passed","Tue Oct 07 11:12:59 UTC 2025","","com.fakeRestApi.tests.book.GetBooksApiTests","com.fakeRestApi.tests.book.GetBooksApiTests","checkGetBookWithInvalidIdShouldReturnBadRequest"
"Verify creating a Book with only one populated field behaves as expected","276","checkCreateBookWithSingleField(String) Create Book with only field: pageCount","","Tue Oct 07 11:12:49 UTC 2025","passed","Tue Oct 07 11:12:49 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSingleField"
"Verify that creating an author with null fields returns 400 Bad Request","3662","checkCreateAuthorWithNullFieldsShouldReturnBadRequest()","","Tue Oct 07 11:12:18 UTC 2025","failed","Tue Oct 07 11:12:22 UTC 2025","","com.fakeRestApi.tests.author.CreateAuthorsTests","com.fakeRestApi.tests.author.CreateAuthorsTests","checkCreateAuthorWithNullFieldsShouldReturnBadRequest"
"Verify creating a Book with only one populated field behaves as expected","282","checkCreateBookWithSingleField(String) Create Book with only field: excerpt","","Tue Oct 07 11:12:49 UTC 2025","passed","Tue Oct 07 11:12:50 UTC 2025","","com.fakeRestApi.tests.book.CreateBooksTests","com.fakeRestApi.tests.book.CreateBooksTests","checkCreateBookWithSingleField"
